"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000066813",103.193965914064,-7.32611671469726,1.20510117715073,-6.07925446726281,1.20742614182317e-09,3.33448641430309e-07,"ACSM2B"
"ENSG00000281406",21.7170782273044,3.58096062455775,0.589524003851468,6.07432538991235,1.24510031343838e-09,3.34326600113737e-07,"BLACAT1"
"ENSG00000112578",181.995032114598,1.18899865990256,0.195764127079031,6.07362890047037,1.25051531617092e-09,3.34326600113737e-07,"BYSL"
"ENSG00000187048",480.936513535296,-7.35297984085789,1.21586694443779,-6.04752014560101,1.47092279513004e-09,3.89113271204348e-07,"CYP4A11"
"ENSG00000162493",120.078506847133,2.19008463573104,0.362961572558165,6.03392976368063,1.60019637520454e-09,4.18901407346513e-07,"PDPN"
"ENSG00000099985",38.7731811677257,2.7183327268939,0.450830884562111,6.02960626695795,1.64359613246352e-09,4.25826952628254e-07,"OSM"
"ENSG00000151617",117.455852957943,1.99873993930746,0.331706863583996,6.02562129017065,1.68461226302907e-09,4.31999905940647e-07,"EDNRA"
"ENSG00000062038",355.893114184879,3.41731363633967,0.567832520656402,6.01817175315942,1.76397976965262e-09,4.47783591829696e-07,"CDH3"
"ENSG00000136295",1190.33030085992,1.32796070483531,0.220800009953517,6.01431451527049,1.80649476869052e-09,4.53990200319615e-07,"TTYH3"
"ENSG00000181652",25.6243139247229,2.46530352109023,0.411136581217911,5.99631274304819,2.01848118607217e-09,5.02242086011681e-07,"ATG9B"
"ENSG00000168542",15706.1510414698,1.95256532131725,0.325901798748906,5.99126893074198,2.08210001080961e-09,5.1299269972212e-07,"COL3A1"
"ENSG00000128595",1253.36907917432,1.07564595169409,0.179770140168961,5.98345170495571,2.1845783200411e-09,5.33015900591776e-07,"CALU"
"ENSG00000132855",304.298416249877,-5.97535898996395,0.999116878652659,-5.98064062136745,2.22261754320773e-09,5.3708270652263e-07,"ANGPTL3"
"ENSG00000180730",13.111549930556,2.64146107507746,0.442873679930571,5.96436680430312,2.45584501225518e-09,5.87788961933189e-07,"SHISA2"
"ENSG00000169247",54.9599331513141,2.23810103228163,0.375822713829918,5.95520427563754,2.59747183407478e-09,6.15821364737106e-07,"SH3TC2"
"ENSG00000172965",43.5110255366919,1.5821868681241,0.26602074605204,5.94760706300174,2.720907976717e-09,6.3419561167324e-07,"MIR4435-2HG"
"ENSG00000140107",242.853576619946,-5.76739193675506,0.969887027349099,-5.94645744723335,2.74007723428018e-09,6.3419561167324e-07,"SLC25A47"
"ENSG00000137809",158.636394235967,1.72999166043579,0.290959062211905,5.94582498061476,2.75067930732494e-09,6.3419561167324e-07,"ITGA11"
"ENSG00000180210",1159.81152431449,-5.9327045790678,1.00014533867564,-5.9318424529416,2.99553994098221e-09,6.83929421453202e-07,"F2"
"ENSG00000164220",36.5839878299056,2.14691915109592,0.362015439856031,5.93046294365158,3.02081754730434e-09,6.83929421453202e-07,"F2RL2"
"ENSG00000161944",375.356532623707,-4.56900327398098,0.77149634791305,-5.92226170135536,3.17543755790964e-09,6.9392975015502e-07,"ASGR2"
"ENSG00000157131",571.826572030454,-6.78303419699675,1.14632802229729,-5.91718431815291,3.27499619686956e-09,7.09516632961456e-07,"C8A"
"ENSG00000061337",55.0118671875029,2.09899843283249,0.354949061086841,5.91352017217748,3.34872493770477e-09,7.19288943670585e-07,"LZTS1"
"ENSG00000128422",134.369430205656,4.60447499903272,0.779442430724891,5.90739587367666,3.47557867065748e-09,7.4020989468045e-07,"KRT17"
"ENSG00000125538",150.727479374593,2.49215293750887,0.422651688162267,5.89646985285924,3.71360568640315e-09,7.84257348781491e-07,"IL1B"
"ENSG00000115008",14.6984011966227,3.61113269861192,0.613118287435174,5.88978142165386,3.86706750737704e-09,8.03167549817292e-07,"IL1A"
"ENSG00000159263",71.3055427080285,3.59852936335249,0.612194093405967,5.87808572822375,4.15037975344597e-09,8.53444436918676e-07,"SIM2"
